Track_ID,Frame,x,y,z,Amp_Peak_,Background,sigma,Track_Length,tau_fast,nphoton,lt_tau,lt_amp,lt_bg,lt_chi2
7032,6141,66.8296048190969,62.420755618496,0,16.9177229663427,0.00333333333333333,2.40599391851511,3,2.18813218341371,1623,1.88329031840545,1365.93019808611,12.5693224222001,0.988119018624441
7036,6142,78.9527747212531,86.7025276779071,0,15.4285311609384,0.175675007018115,2.08381101986183,1,2.54127026397253,417,1.77612279713134,344.230339812407,8.35432761675618,0.985434592644897
7037,6143,77.5143386301061,86.5692077610798,0,30.4956715843086,0.005,2.43477231910391,2,1.95061000852735,2142,1.70083889420674,1823.53624249717,13.8546276690369,1.00568811697017
7037,6144,77.5144395765325,86.5691033933468,0,30.4956715843086,0.005,2.43477231910391,2,1.95061000852735,2142,1.70083889420674,1823.53624249717,13.8546276690369,1.00568811697017
7042,6148,13.6281601246475,63.257074012009,0,7.06403834819107,0.137552986709402,2.22583567865927,2,2.58612968968645,449,1.59168490063304,349.479670011387,14.664429503487,0.97996928912078
7042,6149,13.6282618101715,63.2569706933177,0,7.06403834819107,0.137552986709402,2.22583567865927,2,2.58612968968645,449,1.59168490063304,349.479670011387,14.664429503487,0.97996928912078
7043,6150,15.7076233383792,62.8858251658776,0,12.7780508107356,0.002,2.48028906744557,5,2.37678404680815,2094,1.84340206045633,1791.3896778611,30.1794108912069,0.969986894689648
7043,6151,15.7077253338473,62.8857222763398,0,12.7780508107356,0.002,2.48028906744557,5,2.37678404680815,2094,1.84340206045633,1791.3896778611,30.1794108912069,0.969986894689648
7043,6152,15.7078274723666,62.8856195894578,0,12.7780508107356,0.002,2.48028906744557,5,2.37678404680815,2094,1.84340206045633,1791.3896778611,30.1794108912069,0.969986894689648
7043,6153,15.7079297539371,62.8855171171525,0,12.7780508107356,0.002,2.48028906744557,5,2.37678404680815,2094,1.84340206045633,1791.3896778611,30.1794108912069,0.969986894689648
7043,6154,15.7080321785586,62.8854148594239,0,12.7780508107356,0.002,2.48028906744557,5,2.37678404680815,2094,1.84340206045633,1791.3896778611,30.1794108912069,0.969986894689648
7044,6150,31.3979511217854,72.1543495048041,0,3.98302903718772,0.130461164582062,2.1865525228177,1,3.97416562708387,126,1.4946746762095,93.6224330847535,9.42081671790313,1.01354740033424
7045,6150,35.1786755543377,45.92164368711,0,2.88905852116677,0.209322590979357,2.25698174949306,1,3.73889282687782,107,1.6939233581977,76.7223749013872,5.75907678190945,0.988795164602837
7046,6150,89.1736733023805,9.75862611166731,0,11.7701199300359,0.172933906533738,2.19528500242188,3,2.35917147984584,1061,1.53065616883262,835.927741287748,24.1242542338695,0.973889387073197
7046,6151,89.1737752978486,9.7585232221295,0,11.7701199300359,0.172933906533738,2.19528500242188,3,2.35917147984584,1061,1.53065616883262,835.927741287748,24.1242542338695,0.973889387073197
7046,6152,89.1738774363679,9.75842053524748,0,11.7701199300359,0.172933906533738,2.19528500242188,3,2.35917147984584,1061,1.53065616883262,835.927741287748,24.1242542338695,0.973889387073197
7047,6153,34.8441394875466,43.4774500510862,0,8.40463165843449,0.135093299073969,2.12781511677337,2,2.65313151264337,496,1.61845808960119,393.644594958437,12.069192130303,1.01040006315712
7047,6154,34.8442419121682,43.4773477933577,0,8.40463165843449,0.135093299073969,2.12781511677337,2,2.65313151264337,496,1.61845808960119,393.644594958437,12.069192130303,1.01040006315712
7048,6153,68.306895234948,63.3941205526303,0,7.12734204762347,0.162601727646888,1.91271443706846,1,2.63174428306647,168,1.93492232843127,126.871826001249,5.39586679779607,0.988539641416316
7049,6153,78.4312220101187,85.8813505622196,0,7.07012767817574,0.157504547686869,1.95085526909347,1,3.19789640647221,179,1.77434659076149,137.064882318327,7.30724595457568,0.998742101727118
7051,6156,31.3281305522512,72.6917143160727,0,14.0658461644961,0.00166666666666667,2.47189737883568,6,2.65826800821422,2769,1.79339033439557,2288.943594698,66.2961877292163,0.986832477015799
